C9319	QQ	我是最棒的:铁皮人儿童绘本来啦！~ 幼儿园的表演就要开始了，可是，叫叫似乎没准备好，他会放弃这次表演吗？其实，不完美的表演也一样会获得肯定，要相信自己可以的。所以要勇敢一点哦，爸爸妈妈会爱你所有的样子。 亲爱的爸爸妈妈，你家的宝宝在幼儿园的生活是如鱼得水还是战战兢兢呢？宝宝在幼儿园和同学相处愉快吗？宝宝是否能自信的展示自己呢？现在，我们带来了小鸡叫叫Ⅲ的最新
C10132067	华为帐号	华为帐号是您用于访问所有华为服务的帐号。使用华为帐号登录后，您将可以使用这台设备的华为云服务、应用市场、华为商城、花粉俱乐部、游戏中心（包含下载的游戏）、手机服务、钱包，及更多服务。 华为帐号是系统能力，不支持打开操作，可以通过设置->账户 进入帐号中心，也可以通过云服务、主题、音乐等应用登录后点击头像进入帐号中心，在帐号中心可以统一退出所有应用
C57236	今日头条	★用户量过3亿的新闻阅读客户端   ★占领AppStore新闻类榜首24个月   ★每天用户总在线时长超过7.2亿分钟   ★每天社交平台分享量达1000万次   ★5秒钟掌握你的新闻阅读兴趣点     你关心的，才是头条！《今日头条》会聪明地分析你的兴趣爱好，理解你的阅读行为，为你推荐
C31346	手机百度	随手淘，是一个以地理信息为纽带，提供您身边交易信息的服务应用。 您只需要拍张照片，留个简讯，就能发布交易信息，还可以根据我们提供的智能搜索，随时随地获取周边的交易动态，让您天天享受淘宝的乐趣！                                                                           
C10200687	华为视频	华为视频是华为手机上内置的系统视频播放器，旨在为用户提供一站式的视频体验服务。无需安装第三方视频软件，即可享受来自互联网的海量视频资源。  亮点介绍 【在线视频】热门视频、海量美剧与大洋彼岸同享精彩剧集 【视频悬浮窗】悬浮窗设计，聊天看剧同步进行； 【智能缓存】自定义离线缓存，离线看剧更便捷； 【自动连播】自动连播设置，精
C21976	UC浏览器	超萌定制版的消灭星星：《星星么么哒》来啦！开启消除游戏新萌点，让消除不再单调和乏味。据说有很多妹子在玩噢！星星么么哒版本：101 更新时间：2015-07-01
C10060708	华为支付	【产品介绍】 安心记工，原名安心找活，是中国首款专注于建筑装饰行业记工记账、招工找活的免费手机软件。 安心记工开启了手机记工新时代，工头、工人随时随地记一笔，工资自动算，省时、省力又省心。 记工数据云备份，让您随时查看记工数据，再也不怕账本丢失了。记工账本还可以免费下载和打印。 安心记工还是中国首款全实名制的手机软件，完美对接海量认证
C121553	WPS Office	菜谱食谱:《库克食谱 Cook Book》给你带来烹饪和分享的喜悦。用食谱，你可以有通过尝试新的美味，可口，美味，健康的食品的食谱和令人兴奋的节日特色菜的烹饪极致体验。所有的八月食谱包括甜点，古配方，配方的煎饼，莎莎食谱，萝卜糕食谱，食谱茄子，西葫芦面包配方和crockpot食谱。世界各地的最令人兴奋的食谱像中国，意大利，西班牙，墨西哥，美国，印度，大陆，泰国，古巴等
C10055832	华为文件管理	爱钱进借啊:爱钱进（北京）信息科技有限公司是国内领先的P2P互联网金融信息服务平台，专注于为用户提供基于互联网技术的金融信息服务。自2014年3月在北京成立以来，爱钱进依靠领先于行业的量化风控体系，保持快速发展趋势，已拥有一支“标准化、专业化、国际化”的团队，致力于技术改变金融，使用户获得更加公平、高效和透明的小微金融信息服务。 爱钱进官网：http://www.
C10096044	金山WPS Office + PDF多语言版(免费) 5.8	金山WPS Office + PDF多语言版(免费) 5.8:金山WPS Office移动版是金山公司推出的、运行于Android 平台上的全功能办公软件，国内同类产品排名第一。本程序通过三星/华硕/中兴/华为/联想/酷派官方兼容认证，用户遍布全球220多个国家和地区。　　完全兼容桌面办公文档，支持DOC/DOCX/WPS/XLS/XLSX/PPT/PPTX/TXT/PDF等23种文件格式。支持查看、创建和编辑各种常用
C20679	QQ浏览器	9188彩票:【91888元期期抢】 即日起免费竞猜双色球赢取91888元大奖；  【21点小游戏，金豆无限赢】 新上线21点小游戏，10000金豆免费送，等你来领  【边看边猜赢1888元】 在看球赛的同时（仅限NBA赛事），使用金豆对全场或单节赛果进行竞猜，赢取金豆冲榜单，最高能获得1888元红包哦，天天玩天天有！ <b
C10049053	华为商城	我有空:"租我吧"是一款"约会"神器，在这里的小伙伴们都不用孤孤单单一个人玩耍，在"租我吧"你可以把自己租出去，陪雇主吃饭、唱歌、看电影、做你们爱做的事情，也没准还能谈一恋爱。当然了，你也可以租别人，只要花一笔小钱，就可以在这里租到一个好友陪你一起玩耍，这里有一大批美女帅哥等着你。你只需要通过实名认证 ，就能参与租赁活动，"租我吧"平台承诺：会保护您的个人信息，不会
C2002	爱奇艺视频	《开心宝贝泡泡大战》，黄伟明指导奥飞动漫出品的著名的动画长片《开心宝贝》正版授权，在传承泡泡龙经典玩法的同时，《开心宝贝泡泡大战》还在游戏玩法方面做出了很大的创新。游戏在经典泡泡龙玩法的基础上加入了酷炫狂拽X炸天的技能系统，玩家在遇到困难的关卡时可以借助技能轻松KO对手过关。十一种技能，每个技能都拥有自己独特的作用，最关键的是技能效果非常酷炫。除此之外，游戏
C7166	微博	画尸画皮,画魂入骨,此乃画尸人祖训。为死人整容、化妆不光是为了安慰生者,也是为了净化怨气。画尸人便是由此而生的行当。但在画尸人之中,有一脉天生便具有灵力,他们被称作天授画尸人。天授画尸人,被称为天地间最可怕的存在天授画尸人,靠着父母的血肉活下来天授画尸人,早便应该灭绝的一脉死人睁眼,丧尸收手－－这是殡仪馆里老人才知道的一句话。但,为了钱,他合上了陈小铃那双睁
C34075	手机淘宝	红包秒抢，秒抢任何红包。无论你手机是黑屏待机，还是在聊天，还是在玩游戏看电影，只要开启了服务，只要你有红包出现，就会自动去抢红包，所有都是在瞬间完成，自动发现红包、迅速去拆开红包并存入到你手机的零钱里。只专注做一个帮你抢红包的软件，绝对的安全无后门。 温馨提醒： 1.	一定要按照设置与教程进行操作，否则会发送抢红包失败。 2.	如果还是手机
C3466	酷狗音乐	空空SOHO - 轻咨询平台,行家为你出谋划策。    想去旅行，潇洒仗剑，却又担心错过山川、美景、人文…  想提升个人能力, 职场晋级,  却又无法清晰判断职业前景，无从入手... 想减脂健身，六块腹肌，却又打不起毅力坚持、经不起美食诱惑... … 怎么办 ？！!  「空空SOHO」是一个行家、牛人、老手、能力者的
C5373	支付宝	邻家竹马恋青梅:都说青梅竹马就要两小无猜，兔子还不吃窝边草呢！人人都羡慕她身边有个优质男人，没错，他是长相好、学历好、家境好，可要是不对她的路子，全都白搭。本想着要把他推销出去，猛然发现自己竟然跌进了他的甜蜜陷进里。那好吧，帅哥，咱们切磋切磋？
C27162	华为应用市场	龙破苍穹:华夏乃龙之传人，这只是一个传说，但龙飞天却真的证实了这个传说。一个荒唐的误会，让龙飞天变成了龙家的废物少爷，为了让母亲不被欺负，为了变得强大，龙飞天不畏强势，见神杀神，遇鬼灭鬼，一步步向着颠峰迈进。华夏乃龙之传人，这只是一个传说，但龙飞天却真的证实了这个传说。一个荒唐的误会，让龙飞天变成了龙家的废物少爷，为了让母亲不被欺负，为了变得强大，龙飞天不畏强势，见神
C3382	百度地图	特色旅游门户手机app主要功能有旅游攻略、著名景点、旅行社推荐、自驾租车、酒店推荐、吃喝玩乐、产品供应等，及一键搜索，一键导航、一键拨打等功能。 栏目充分发挥了其作为全国信息网络的导航功能 特色旅游是旅游内涵延伸的新形式，在我国旅游业大发展的同时，各类旅游形式正竞相发展。这其中以常规旅游为主要形式，而特色旅游亦在悄然兴起，并有蓬勃发展的势头。
C10207207	华为云服务	【软件介绍】 华为云服务集合个人数据同步、云相册、手机找回等多种基础云功能，旨在为消费者提供易用、快捷、智能、安全的一站式个人数据管理服务。  【功能特色】 1.联系人自动同步，手机和云端始终保持一致，换机也不会丢失联系人。 2.支持多种联系人数据整理方式：本地覆盖云端、云端覆盖本地、智能合并，满足各种场景需要。 3.短信
C5683	微信	单词轻松背-四六级:单词轻松背是最好用的四六级英语等级考试背诵软件,边听边记，轻松背诵英语单词。  1.收录超过8000条最新四级,六级词汇; 2.单词发音支持，例句来自必应英汉词典;(需要网络接入) 3.传统按字母表顺序记忆英语单词; 4.单词查询功能; 5.可将单词加入收藏夹方便复习。
C66323	华为备份	琪琪消消乐HD:《琪琪消消乐》是目前热播动漫《琪琪的秘密日记》正版改编消除游戏，游戏中颠覆了以往点触消除的玩法，结合”俄罗斯方块”与”泡泡龙”两种经典游戏，打造出自身特色玩法，简单的屏幕点触、下拉等动作便可完成相同颜色泡泡的消除。本游戏采用关卡模式，玩家需要达成相应关卡所需的目标方可过关。
C10067631	华为手机服务	华为手机服务:“手机服务”为华为手机用户提供立体在线服务，集成智能问答、用户指南、服务网点、花粉论坛等必备服务，旨在为用户提供统一的手机售后服务入口，帮助用户便捷定位和快速解决问题，让您安心、省心、放心地使用华为手机。 主要功能： 1、华为会员：华为提供给终端消费者的一项增值服务，是消费者尊贵身份的象征。会员可享受专属售后服务、VIP客服、应用和游戏特权、生活
C10021449	音乐	“兴”服务，新体验！兴业银行专为Android用户推出全新尊尚版手机银行，让您尊享贴身的移动金融服务，乐享“掌”控一切的自然人生。 客户端手机银行三大特点： 一、友好的操作体验 1、全新的界面设计和菜单布局； 2、优化手机银行登录、只需设定登录手机号即可快速登录； 3、使用短信口令认证，办理转账、缴费等业务更加便捷； 4、提供真正符合手机用户的操作体验，一触
